1591 65.18 68.45 0.20 0.10 0.70 0.40 0.20 0.40 3 1 1 2.69 3.42 2.48 0
1592 66.82 67.82 0.10 0.40 0.50 0.50 0.10 0.40 2 1 2 3.29 3.47 2.11 0
1593 73.27 67.36 0.50 0.40 0.10 0.20 0.30 0.50 4 0 1 1.20 6.51 13.29 0
1594 69.36 65.09 0.50 0.20 0.30 0.30 0.20 0.50 2 1 1 1.47 4.23 6.71 0
1595 68.82 73.91 0.40 0.10 0.50 0.70 0.20 0.10 2 1 2 4.09 3.60 1.85 0
1596 66.91 69.91 0.30 0.40 0.30 0.40 0.30 0.30 3 1 0 2.28 3.51 2.93 0
1597 68.09 73.27 0.30 0.30 0.40 0.70 0.00 0.30 1 3 1 4.10 3.61 1.84 2
1598 67.73 70.27 0.40 0.10 0.50 0.30 0.20 0.50 2 2 1 2.48 3.31 2.78 0
1599 64.09 69.27 0.30 0.20 0.50 0.40 0.40 0.20 1 2 2 2.76 3.30 2.49 2
1600 66.64 66.09 0.30 0.10 0.60 0.30 0.00 0.70 1 2 1 2.12 3.43 3.30 1
1601 72.73 65.91 0.70 0.00 0.30 0.30 0.20 0.50 3 1 0 1.22 6.09 12.32 0
1602 73.55 72.64 0.60 0.20 0.20 0.50 0.40 0.10 2 1 2 2.28 3.36 3.08 0
1603 70.36 68.73 0.20 0.20 0.60 0.40 0.40 0.20 2 2 1 1.78 3.62 4.46 0
1604 69.91 66.55 0.40 0.30 0.30 0.30 0.20 0.50 3 1 1 1.46 4.30 6.68 1
1605 70.09 68.09 0.50 0.40 0.10 0.60 0.20 0.20 2 2 1 2.76 3.33 2.49 2
1606 68.00 66.09 0.50 0.10 0.40 0.30 0.20 0.50 1 1 3 1.56 3.87 6.11 1
1607 66.91 68.09 0.20 0.10 0.70 0.20 0.30 0.50 1 1 3 2.15 3.36 3.30 0
1608 66.82 67.45 0.10 0.30 0.60 0.40 0.10 0.50 1 2 2 3.22 3.36 2.19 0
1609 73.55 68.00 0.40 0.40 0.20 0.50 0.20 0.30 3 1 1 1.43 4.31 7.61 0
1610 69.64 74.00 0.60 0.20 0.20 0.70 0.10 0.20 1 3 1 2.57 3.34 2.64 2
1611 67.18 70.18 0.40 0.10 0.50 0.30 0.20 0.50 2 2 1 2.73 3.22 2.58 1
1612 68.91 67.64 0.30 0.40 0.30 0.30 0.10 0.60 3 0 2 1.90 3.61 3.83 1
1613 66.27 69.09 0.20 0.20 0.60 0.40 0.40 0.20 1 1 2 2.96 3.23 2.40 1
1614 67.45 69.82 0.20 0.30 0.50 0.40 0.30 0.30 2 2 0 2.65 3.30 2.63 0
1615 66.18 72.55 0.20 0.30 0.50 0.80 0.00 0.20 0 5 0 6.56 4.45 1.46 2
1616 66.00 66.82 0.20 0.30 0.50 0.20 0.30 0.50 1 4 0 2.19 3.32 3.25 2
1617 72.91 68.00 0.80 0.00 0.20 0.40 0.50 0.10 3 0 2 1.33 5.01 8.74 0
1618 73.55 66.09 0.70 0.10 0.20 0.20 0.30 0.50 5 0 0 1.22 6.28 11.91 0
1619 70.09 67.64 0.30 0.30 0.40 0.30 0.20 0.50 3 1 1 1.69 3.66 5.07 0
