1519 66.27 69.36 0.20 0.30 0.50 0.20 0.20 0.60 1 3 1
1520 66.18 68.36 0.30 0.20 0.50 0.30 0.40 0.30 2 2 1
1521 72.73 65.36 0.50 0.10 0.40 0.30 0.30 0.40 3 2 0
1522 68.36 69.09 0.20 0.20 0.60 0.30 0.30 0.40 3 2 0
1523 69.55 70.36 0.50 0.30 0.20 0.50 0.20 0.30 1 1 2
1524 66.82 65.73 0.50 0.20 0.30 0.30 0.20 0.50 2 2 1
1525 67.18 66.64 0.30 0.40 0.30 0.20 0.30 0.50 2 0 2
1526 69.36 72.91 0.30 0.10 0.60 0.50 0.50 0.00 0 2 3
1527 68.64 74.64 0.30 0.40 0.30 0.50 0.40 0.10 0 4 1
1528 64.82 68.00 0.40 0.10 0.50 0.20 0.40 0.40 1 3 1
1529 73.73 67.00 0.50 0.40 0.10 0.30 0.50 0.20 2 2 0
1530 71.09 68.91 0.50 0.10 0.40 0.30 0.00 0.70 1 1 3
1531 68.55 64.91 0.20 0.30 0.50 0.40 0.10 0.50 2 1 2
1532 67.73 68.09 0.60 0.10 0.30 0.30 0.40 0.30 2 2 1
1533 68.00 69.73 0.30 0.30 0.40 0.60 0.20 0.20 2 1 1
1534 65.55 72.09 0.30 0.30 0.40 0.60 0.40 0.00 0 2 3
1535 66.36 72.45 0.10 0.40 0.50 0.60 0.00 0.40 0 5 0
1536 67.00 69.55 0.30 0.10 0.60 0.20 0.20 0.60 2 1 2
1537 72.91 69.73 0.60 0.00 0.40 0.40 0.10 0.50 2 2 1
1538 70.00 74.00 0.20 0.10 0.70 0.60 0.40 0.00 3 0 2
1539 72.73 68.45 0.60 0.40 0.00 0.30 0.40 0.30 0 2 3
1540 69.64 66.09 0.50 0.30 0.20 0.20 0.30 0.50 1 1 0
1541 66.91 67.73 0.30 0.40 0.30 0.60 0.20 0.20 0 2 2
1542 69.27 66.73 0.30 0.00 0.70 0.40 0.10 0.50 2 0 3
